language_pair,count,acc_mean,acc_std,acc_norm_mean,acc_norm_std
he_to_no,45,0.3778,0.4903,0.3556,0.4841
he_to_pl,45,0.4,0.4954,0.3333,0.4767
he_to_pt,45,0.4667,0.5045,0.3556,0.4841
he_to_ro,45,0.5111,0.5055,0.5111,0.5055
he_to_ru,45,0.4222,0.4995,0.4667,0.5045
he_to_sk,45,0.4444,0.5025,0.3778,0.4903
he_to_sl,45,0.3333,0.4767,0.3778,0.4903
he_to_sr,45,0.4222,0.4995,0.4667,0.5045
he_to_sv,45,0.3778,0.4903,0.4,0.4954
he_to_sw,45,0.2222,0.4204,0.2,0.4045
he_to_ta,45,0.2889,0.4584,0.3111,0.4682
he_to_th,45,0.2444,0.4346,0.2889,0.4584
he_to_tl,45,0.4,0.4954,0.3556,0.4841
he_to_tr,45,0.3556,0.4841,0.3778,0.4903
he_to_uk,45,0.4222,0.4995,0.3333,0.4767
he_to_uz,45,0.3778,0.4903,0.4444,0.5025
he_to_vi,45,0.4667,0.5045,0.3778,0.4903
he_to_zh,45,0.3333,0.4767,0.4444,0.5025
hi_to_am,45,0.3778,0.4903,0.2444,0.4346
hi_to_ar,45,0.5111,0.5055,0.3111,0.4682
hi_to_bg,45,0.5111,0.5055,0.3556,0.4841
hi_to_bn,45,0.3556,0.4841,0.2889,0.4584
